Longitude,Latitude,Elevation,Time,Track,Campaign,Link
254.23856,39.89813,2830.013,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69481,39.899353,2481.942,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.23799,39.90123,2882.169,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69537,39.902447,2518.797,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.23743,39.90432,2881.4880000000003,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69594,39.905533,2393.789,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.23686,39.907413,2865.9880000000003,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69649,39.90861,2265.388,2005-11-17 14:43:10,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.23628,39.91052,2850.753,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.69705,39.911713,2334.0570000000002,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
254.23569,39.913624,2905.746,2005-10-28 02:57:33,20,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.10.28/GLAH06_634_2113_002_0019_4_01_0001.H5.ascii"
254.6976,39.91481,2206.584,2005-11-17 14:43:09,325,"Laser 3D","https://n5eil01u.ecs.nsidc.org/opendap/GLAS/GLAH06.034/2005.11.17/GLAH06_634_2113_002_0325_2_01_0001.H5.ascii"
